Unnamed: 0,Date & Time,Headlines,Author,Vertical,Description
18,"Last Updated: Nov 01, 2016, 12:56 AM IST",AAP's cold invite may push Navjot Singh Sidhu to join Congress,ET Bureau,Politics,"AAP supremo Arvind Kejriwal's reluctance to roll out the red carpet for Sidhu had led him to launch his own outfit, Awaaz-e-Punjab, in September."
19,"Last Updated: Nov 01, 2016, 12:50 AM IST","Sutton denies sexism, questions British Cycling investigation",,Sports,"CYCLING-BRITAIN-SUTTON:Sutton denies sexism, questions British Cycling investigation"
20,"Last Updated: Nov 01, 2016, 12:58 AM IST",Bollywood steals show on celeb ambassadors’ list,ET Bureau,Services,"The top 5 sectors which use celebrities for endorsements are personal care, food and beverage, automobiles, ecommerce and jewellery, said the report."
21,"Last Updated: Nov 01, 2016, 01:01 AM IST",IAS trainee says MyGov portal has poor rank,ET Bureau,Politics,Rishav Gupta who was attached with the Ministry of Power and studied the MyGov portal said in his presentation that the MyGov had merely 5 lakh app downloads.
22,"Last Updated: Nov 01, 2016, 01:00 AM IST",Startup mantra: Network to succeed,ET Bureau,Startups,"Partnership opportunities, learning opportunities, hiring opportunities and investment opportunities, networking offers it all, says Chinmay Agarwal."
23,"Last Updated: Nov 01, 2016, 01:05 AM IST",Pre-placement offers offers at all-time high this year in IITs,ET Bureau,Pre-placement offers offers at all-time high this year in IITs,"The number of offers at some IITs has already shot up about a third than that a year ago, officials said, even as companies have more than two weeks left to snap up talent through PPOs from the premier engineering institutes."
24,"Last Updated: Nov 01, 2016, 01:06 AM IST","How data analytics is using video, speech & images to solve complex challenges",ET Bureau,Internet,"How data analytics is using video, speech & images solving more complex challenges"
25,"Last Updated: Nov 01, 2016, 01:09 AM IST",The frustrations of Sebastian Vettel,ET Bureau,Sports,"As it happened, the stewards sided with Vettel and handed Verstappen a five-second time penalty that dropped him out of third immediately after the race."
26,"Last Updated: Nov 01, 2016, 01:10 AM IST",Impact Analytics secures $750K from Aarin Capital & others,ET Bureau,Money,"Michael Herzig, serial entrepreneur, and Ashish Lakhanpal, CEO of Kismet Capital have also co-invested as part of the fund raise."
27,"Last Updated: Nov 01, 2016, 01:15 AM IST",Luis Enrique upbeat despite injuries to Barca quintet,,Sports,SOCCER-CHAMPIONS-MCI-FCB-ENRIQUE:Luis Enrique upbeat despite injuries to Barca quintet
28,"Last Updated: Nov 01, 2016, 01:20 AM IST",Olympic skeleton champion Yarnold may boycott Sochi world championships,,Sports,SKELETON-YARNOLD:Olympic skeleton champion Yarnold may boycott Sochi world championships
29,"Last Updated: Nov 01, 2016, 01:20 AM IST",Skeleton-Olympic champion Yarnold may boycott Sochi world championships,,Sports,SKELETON-YARNOLD/:Skeleton-Olympic champion Yarnold may boycott Sochi world championships
30,"Last Updated: Nov 01, 2016, 01:25 AM IST",Soccer-Bulgarian championship results and standings,,Sports,SOCCER-BULGARIA/RESULTS:Soccer-Bulgarian championship results and standings
31,"Last Updated: Nov 01, 2016, 01:25 AM IST",Soccer-Serie A top scorers,,Sports,SOCCER-ITALY/TOP SCORERS:Soccer-Serie A top scorers
32,"Last Updated: Nov 01, 2016, 01:25 AM IST",Soccer-Serie A results and standings,,Sports,SOCCER-ITALY/RESULTS:Soccer-Serie A results and standings
33,"Last Updated: Nov 01, 2016, 01:32 AM IST","Reopen schools and protect them, High Court tells Mehbooba Govt",ET Bureau,Politics,Students and civil society members have protested the move and had asked for rescheduling the examinations till next March.
34,"Last Updated: Nov 01, 2016, 01:30 AM IST",Soccer-Swedish championship results and standings,,Sports,SOCCER-SWEDEN/RESULTS:Soccer-Swedish championship results and standings
35,"Last Updated: Nov 01, 2016, 01:50 AM IST",Petrol-run utility vehicles sales double in September,ET Bureau,Auto,"At Maruti Suzuki, executive director for sales & marketing RS Kalsi said the major proportion of sales at around 70% comes in from petrol cars."
36,"Last Updated: Nov 01, 2016, 01:40 AM IST","Soccer-Walcott, Cazorla, Bellerin, Monreal missing for Arsenal",,Sports,"SOCCER-CHAMPIONS-LUD-ARS/WENGER:Soccer-Walcott, Cazorla, Bellerin, Monreal missing for Arsenal"
37,"Last Updated: Nov 01, 2016, 01:40 AM IST","Walcott, Cazorla, Bellerin, Monreal missing for Arsenal",,Sports,"SOCCER-CHAMPIONS-LUD-ARS-WENGER:Walcott, Cazorla, Bellerin, Monreal missing for Arsenal"
38,"Last Updated: Nov 01, 2016, 01:45 AM IST",Get realistic; have professional consultants vet your wish list: Aviation ministry to industry,ET Bureau,Transportation,"SpiceJet chairman Ajay Singh has been given the responsibility to submit the list of demands by November 20, after vetting by consultants."
39,"Last Updated: Nov 01, 2016, 01:55 AM IST",UPDATE 1-Soccer-Romanian championship preliminary round results and standings,,Sports,SOCCER-ROMANIA/RESULTS (UPDATE 1):UPDATE 1-Soccer-Romanian championship preliminary round results and standings
40,"Last Updated: Nov 01, 2016, 02:00 AM IST",UPDATE 1-Soccer-Chilean championship results and standings,,Sports,SOCCER-CHILE/RESULTS (UPDATE 1):UPDATE 1-Soccer-Chilean championship results and standings
41,"Last Updated: Nov 01, 2016, 02:00 AM IST",Soccer-Israeli championship results and standings,,Sports,SOCCER-ISRAEL/RESULTS:Soccer-Israeli championship results and standings
42,"Last Updated: Nov 01, 2016, 02:05 AM IST","Soccer-Torres experience important for Atletico, says Simeone",,Sports,"SOCCER-CHAMPIONS-ATM-ROS/SIMEONE:Soccer-Torres experience important for Atletico, says Simeone"
43,"Last Updated: Nov 01, 2016, 02:10 AM IST","Torres experience important for Atletico, says Simeone",,Sports,"SOCCER-CHAMPIONS-ATM-ROS-SIMEONE:Torres experience important for Atletico, says Simeone"
44,"Last Updated: Nov 01, 2016, 02:40 AM IST",UPDATE 7-Tennis-Paris Masters men's singles round 1 results,,Sports,TENNIS-MEN/PARIS-RESULTS (UPDATE 7):UPDATE 7-Tennis-Paris Masters men's singles round 1 results
45,"Last Updated: Nov 01, 2016, 03:10 AM IST",Soccer-La Liga results and standings,,Sports,SOCCER-SPAIN/RESULTS:Soccer-La Liga results and standings
46,"Last Updated: Nov 01, 2016, 03:10 AM IST",Soccer-La Liga top scorers,,Sports,SOCCER-SPAIN/TOP SCORERS:Soccer-La Liga top scorers
47,"Last Updated: Nov 01, 2016, 08:06 AM IST",Air pollution behind 10% under-5 years deaths: Unicef report,TNN,Environment,"A report by the United Nations Children’s agency, Unicef, released on Monday, has confirmed the worst fears of people living in polluted areas - that bad air is contributing to the deaths of many children even before they celebrate their fifth birthday."
48,"Last Updated: Nov 01, 2016, 03:25 AM IST",Soccer-English premier league summaries,,Sports,SOCCER-ENGLAND/SUMMARIES:Soccer-English premier league summaries
49,"Last Updated: Nov 01, 2016, 03:25 AM IST",UPDATE 1-Soccer-Serie A summaries,,Sports,SOCCER-ITALY/SUMMARIES (UPDATE 1):UPDATE 1-Soccer-Serie A summaries
50,"Last Updated: Nov 01, 2016, 03:25 AM IST",Soccer-English premier league top scorers,,Sports,SOCCER-ENGLAND/TOP SCORERS:Soccer-English premier league top scorers
51,"Last Updated: Nov 01, 2016, 03:25 AM IST",UPDATE 1-Soccer-Serie A results and standings,,Sports,SOCCER-ITALY/RESULTS (UPDATE 1):UPDATE 1-Soccer-Serie A results and standings
52,"Last Updated: Nov 01, 2016, 03:30 AM IST",Soccer-Portuguese championship results and standings,,Sports,SOCCER-PORTUGAL/RESULTS:Soccer-Portuguese championship results and standings
53,"Last Updated: Nov 01, 2016, 03:30 AM IST",Soccer-Stoke delight after Bony double sinks old club Swansea,,Sports,SOCCER-ENGLAND-STK-SWA/:Soccer-Stoke delight after Bony double sinks old club Swansea
54,"Last Updated: Nov 01, 2016, 03:35 AM IST",Stoke delight after Bony double sinks old club Swansea,,Sports,SOCCER-ENGLAND-STK-SWA:Stoke delight after Bony double sinks old club Swansea
55,"Last Updated: Nov 01, 2016, 04:00 AM IST",UPDATE 1-Soccer-Stoke joy after Bony goals sink old club Swansea,,Sports,SOCCER-ENGLAND-STK-SWA/ (UPDATE 1):UPDATE 1-Soccer-Stoke joy after Bony goals sink old club Swansea
56,"Last Updated: Nov 01, 2016, 04:00 AM IST",UPDATE 8-Tennis-Paris Masters men's singles round 1 results,,Sports,TENNIS-MEN/PARIS-RESULTS (UPDATE 8):UPDATE 8-Tennis-Paris Masters men's singles round 1 results
57,"Last Updated: Nov 01, 2016, 04:00 AM IST",Soccer-Peruvian championship results and standings,,Sports,SOCCER-PERU/RESULTS:Soccer-Peruvian championship results and standings
58,"Last Updated: Nov 01, 2016, 04:20 AM IST",NFL-National Football League roundup,,Sports,NFL-ROUNDUP/:NFL-National Football League roundup
59,"Last Updated: Nov 01, 2016, 04:20 AM IST",NBA-National Basketball Association roundup,,Sports,NBA-ROUNDUP/:NBA-National Basketball Association roundup
60,"Last Updated: Nov 01, 2016, 04:20 AM IST",UPDATE 1-Soccer-English premier league top scorers,,Sports,SOCCER-ENGLAND/TOP SCORERS (UPDATE 1):UPDATE 1-Soccer-English premier league top scorers
61,"Last Updated: Nov 01, 2016, 04:38 PM IST",What's with the disappearance of original ideas and rise of digital thinking?,ET Bureau,What's with the disappearance of original ideas and rise of digital thinking?,"Strangely enough, the rise and rise of digital and social thinking has coincided with the slump and struggle for depth, meaning and feeling in brand thinking."
62,"Last Updated: Nov 01, 2016, 05:25 AM IST",Reuters Sports News Summary,,Sports,SPORTS:Reuters Sports News Summary
63,"Last Updated: Nov 01, 2016, 05:25 AM IST",UPDATE 1-Soccer-Argentine championship results and standings,,Sports,SOCCER-ARGENTINA/RESULTS (UPDATE 1):UPDATE 1-Soccer-Argentine championship results and standings
64,"Last Updated: Nov 01, 2016, 05:30 AM IST",Soccer-Brazilian championship results and standings,,Sports,SOCCER-BRAZIL/RESULTS:Soccer-Brazilian championship results and standings
65,"Last Updated: Nov 01, 2016, 06:27 AM IST",Corporates and government should not have acrimonious ties: Oil minister Dharmendra Pradhan,ET Bureau,Interviews,"""The relationship is better when it is based on policies, when discretion is reduced and decision making in isolation is ended,"" he says."
66,"Last Updated: Nov 01, 2016, 09:07 AM IST","Does PM Narendra Modi think people of UP to be fools, asks Mayawati",ET Bureau,Interviews,"Business people have always liked my administration because we gave the best law and order and power supply, says Mayawati"
67,"Last Updated: Nov 01, 2016, 06:35 AM IST",Horse racing-California Chrome installed as hot Classic favourite,,Sports,HORSERACING-BREEDERS/DRAW:Horse racing-California Chrome installed as hot Classic favourite
68,"Last Updated: Nov 01, 2016, 06:49 AM IST",Six important triggers that changed your market while you were sleeping,ETMarkets.com,Stocks,The greenback edged lower on Tuesday as the final days of the contentious US presidential campaign overshadowed other major market events.
69,"Last Updated: Nov 01, 2016, 07:05 AM IST",Baseball-Francona catches future glimpse of Indians on parade,,Sports,BASEBALL-WORLDSERIES/PARADE (PIX):Baseball-Francona catches future glimpse of Indians on parade
70,"Last Updated: Nov 01, 2016, 07:15 AM IST",Baseball-'Little Cowboy' Tomlin hopes to ride Indians to victory,,Sports,BASEBALL-WORLDSERIES/PITCHERS (PIX):Baseball-'Little Cowboy' Tomlin hopes to ride Indians to victory
71,"Last Updated: Nov 01, 2016, 07:26 AM IST","Team India, R Ashwin continue to lead ICC Test charts",PTI,Sports,Ashwin's spin partner Ravindra Jadeja was at seventh place with 805 points.
72,"Last Updated: Nov 01, 2016, 07:30 AM IST",PREVIEW-Soccer-Buffon says Juventus still far from the finished product,,Sports,SOCCER-CHAMPIONS-JUV-LYO/:PREVIEW-Soccer-Buffon says Juventus still far from the finished product
73,"Last Updated: Nov 01, 2016, 07:43 AM IST",Market cues buzzing at breakfast tables this morning,ETMarkets.com,Stocks,"Nifty50 futures on the Singapore Stock Exchange were trading 35.50 points higher at 8,639.50, indicating a positive opening for the domestic market."
74,"Last Updated: Nov 01, 2016, 07:50 AM IST",need2know: Seven macro triggers that may move your market today,ETMarkets.com,Stocks,"Halfway through 201617, the government has run up a fiscal deficit of 83.9% of the full-year budget estimate compared with 68.1% a year ago."
75,"Last Updated: Nov 01, 2016, 07:40 AM IST",Soccer-Bolivian championship results and standings,,Sports,SOCCER-BOLIVIA/RESULTS:Soccer-Bolivian championship results and standings
76,"Last Updated: Nov 01, 2016, 10:23 AM IST",Cracker of a festive sale for Amazon with 3X sales,ET Bureau,Money,"Amazon India conducted its festival season sales in three phases during October. The company said it sold more than 15 million units in the first phase of its Great Indian Sale, a three-fold increase over its five-day sales event last year."
77,"Last Updated: Nov 01, 2016, 07:47 AM IST","Ten stocks in focus on Tuesday, 01 November 2016",ETMarkets.com,Stocks,The Indian market is expected to open higher. Here is a list of top ten stocks that are likely to be in focus today.
78,"Last Updated: Nov 01, 2016, 07:45 AM IST",Soccer-Argentine championship results and standings,,Sports,SOCCER-ARGENTINA/RESULTS:Soccer-Argentine championship results and standings
79,"Last Updated: Nov 01, 2016, 07:48 AM IST","Expert take: Nifty range will be between 8,160 and 8,750 for next two months",ET Bureau,Stocks,"Nifty Index sustained the supports of 8,500-8,550 levels and bounced back till 8,650. Intermediate resistance is now placed at 8,740, analysts suggest."
80,"Last Updated: Nov 01, 2016, 07:58 AM IST",Dalal Street bets Samvat 2073 will be better than last year,ET Bureau,Stocks,The concern that ECB may unwind its easy monetary policy and potential supply limits by oil producing countries could contribute to market volatility.
81,"Last Updated: Nov 01, 2016, 10:46 AM IST",Vertical is a SaaSy space for investors with deep pockets,ET Bureau,Money,"While vertical players in SaaS are finding solutions for precise industry requirements, large business serving horizontal players are providing customisation of products to suit varied business needs of enterprise customers."
82,"Last Updated: Nov 01, 2016, 08:02 AM IST",Outliers in midcaps and smallcaps that beat largecaps,ET Bureau,Stocks,"Investors betting on recovery in the domestic economy have made hefty returns in stocks in the past one year, particularly in the months after the Union Budget."
83,"Last Updated: Nov 01, 2016, 09:02 AM IST",On the grapevine: Little perks of being the 'boss',ET Bureau,Panache,Even the most professionally managed conglomerates bend the rules and company contacts are used freely to help further the agenda of a relation of the boss.
84,"Last Updated: Nov 01, 2016, 08:13 AM IST",Paralysis in stock markets eases at right time for bulls hoarding cash,,Stocks,"Among growth funds, 71 per cent exceeded returns on the Russell 1000 Growth Index, while 63 per cent of value investors beat their benchmark."
85,"Last Updated: Nov 01, 2016, 08:11 AM IST",LIVE BLOG: Look who's moving my market today,ETMarkets.com,Stocks,The domestic market is expected to open higher on Tuesday tracking mixed trend seen in other Asian markets.
86,"Last Updated: Nov 01, 2016, 10:24 AM IST",Consolidation can help Ecomm firms avoid heartburn,ET Bureau,IT,"As far as internet penetration goes, we had over 402 million internet users at the end of 2015.We expect this number to go close to 60% by the end of 2020."
87,"Last Updated: Nov 01, 2016, 11:21 AM IST","French bakery, L’Opéra, looks to raise more dough",ET Bureau,Money,"According to sources aware of the developments, investment bank Langham Capital has been mandated by the company to scout for potential investors, and a deal, if successful, is expected to close by December-January."
88,"Last Updated: Nov 01, 2016, 08:34 AM IST",Falcon Autotech looks overseas for growth,ET Bureau,Startups,"Falcon Autotech is working with companies that are already its customers in India, after which it will become easier to approach new customers."
89,"Last Updated: Nov 01, 2016, 08:30 AM IST","Maruti Suzuki: Target price rises on higher PE multiple, earnings upgrade",ET Bureau,Stocks,The stock is witnessing earnings upgrades thanks to higher projected operating margins due to improving realisation & higher capacity utilisation.
90,"Last Updated: Nov 01, 2016, 08:36 AM IST","'BUY' or 'SELL' ideas from experts for Tuesday, 01 November 2016",ETMarkets.com,Stocks,ET Now spoke to various experts and here's what they have to recommend for today's trade.
91,"Last Updated: Nov 01, 2016, 09:07 AM IST",Switzerland back to battling might of global currency market,,Forex,"While Switzerland's economy is improving, weaknesses persist and the nation can't afford a spiraling franc to set back its recovery."
92,"Last Updated: Nov 01, 2016, 12:20 PM IST","US consumer spending increases steadily, inflation continues to gain",,Stocks,Last month's increase in consumer spending offered a fairly strong handoff from the July-September period to the current quarter.
93,"Last Updated: Nov 01, 2016, 08:40 AM IST",PREVIEW - Buffon says Juventus still far from the finished product,,Sports,SOCCER-CHAMPIONS-JUV-LYO:PREVIEW - Buffon says Juventus still far from the finished product
94,"Last Updated: Nov 01, 2016, 08:43 AM IST","Buy Dish TV India, target Rs 104 : Dr CK Narayan",ETMarkets.com,Stocks,Buy Dish TV India Ltd. at a price target of Rs 104 and a stop loss at Rs 97.5 from entry point
95,"Last Updated: Nov 01, 2016, 08:46 AM IST",Sell Axis Bank with a target of Rs 479: Dr CK Narayan,ETMarkets.com,Stocks,Sell Axis Bank Ltd. with a target of Rs 479 and a stop loss of Rs 496
96,"Last Updated: Nov 01, 2016, 08:48 AM IST","Buy Sintex Industries, target Rs 100 : Kunal Bothra",ETMarkets.com,Stocks,Buy Sintex Industries Ltd. at a price target of Rs 100 and a stop loss at Rs 85 from entry point
97,"Last Updated: Nov 01, 2016, 08:50 AM IST","Buy Tech Mahindra, target Rs 464 : Siddarth Bhamre",ETMarkets.com,Stocks,Buy Tech Mahindra Ltd. at a price target of Rs 464 and a stop loss at Rs 425 from entry point
98,"Last Updated: Nov 01, 2016, 08:50 AM IST",Buy Lupin Ltd. target Rs 1602 : Siddarth Bhamre,ETMarkets.com,Stocks,Buy Lupin Ltd. at a price target of Rs 1602 and a stop loss at Rs 1474 from entry point
99,"Last Updated: Nov 01, 2016, 08:54 AM IST","Buy Kitex Garments, target Rs 535 : Kunal Bothra",ETMarkets.com,Stocks,Buy Kitex Garments Ltd. at a price target of Rs 535 and a stop loss at Rs 502 from entry point
100,"Last Updated: Nov 01, 2016, 08:56 AM IST","Jacqueline Fernandez, Sophie Choudry dazzle at designer Cecilia Morelli's party",ET Bureau,Panache,The designer hosted a party in Mumbai to launch New York-based Prabal Gurung’s new fashion line.
101,"Last Updated: Nov 01, 2016, 02:21 PM IST",Builder will pay you 10.9% interest if he delays delivery of your new home,TNN,Real Estate,"Now, every builder will have to register with the state regulator. The developers of ongoing projects will also have to deposit 70% of the funds collected."
102,"Last Updated: Nov 01, 2016, 09:25 AM IST","Sensex, Nifty50 start on a flat note; HDFC, ICICI Bank, Maruti top gainers",ETMarkets.com,Stocks,"The Nifty50 reclaimed its crucial resistance level of 8,650 supported by gains in realty, metals, capital goods, autos, and telecom stocks."
103,"Last Updated: Nov 01, 2016, 09:30 AM IST",NFL standings,,Sports,NFL/STANDINGS:NFL standings
104,"Last Updated: Nov 01, 2016, 09:30 AM IST",NFL-Bears beat Vikings as quarterback Cutler makes winning return,,Sports,NFL-BEARS/:NFL-Bears beat Vikings as quarterback Cutler makes winning return
105,"Last Updated: Nov 01, 2016, 09:41 AM IST","Looking at assets that can benefit in both Clinton and Trump win: Hartmut Issel, UBS Wealth Management",,Expert Views,“Betting on inflation protected stocks. Trump’s policies seem to be more inflationary than Hillary’s”
106,"Last Updated: Jul 14, 2018, 08:25 PM IST","MiG and other firms paid millions to CBI, ED suspect Sudhir Choudhrie’s son, cousin",ET Bureau,Defence,"In the AugustaWestland corruption case, payment to middlemen were described as offset payments, according to the judgment of an Italian court."
107,"Last Updated: Nov 01, 2016, 09:57 AM IST",What to look for while buying a critical illness insurance plan,ET Online,Insure,Not all critical illness insurance plans are the same. Read on to find out what all an individual must consider before buying one.
108,"Last Updated: Nov 01, 2016, 10:02 AM IST",Glenmark Pharma shares jump 6% on debt reduction plan,ETMarkets.com,Stocks,"Following the development, the stock rose 5.9 per cent to hit a high of Rs 993 on BSE. This is nearly 10 per cent higher than October 27’s closing of Rs 906.40."
109,"Last Updated: Jul 12, 2018, 09:03 PM IST","BSF fires 5,000 mortar shells, 35,000 bullets in 11 days",TNN,Defence,Officials said long-range mortar shells are used to destroy enemy positions and small range weapons for targeting terrorists and Pak Rangers firing from posts close to the border.
110,"Last Updated: Nov 01, 2016, 10:10 AM IST",Eicher Motors shares surge 4% on upbeat October sales data,ETMarkets.com,Stocks,The company has reported a 45.19 per cent YoY rise in consolidated net profit at Rs 413.16 crore for the second quarter ended September 30.
111,"Last Updated: Nov 01, 2016, 10:17 AM IST",Smart startup VCs ally with global peers for faster exits,ET Bureau,Startups,Some early-stage firms are looking at merging their portfolio companies with bigger global players in the same space.
112,"Last Updated: Nov 01, 2016, 10:45 AM IST","USFDA observations minor in nature: Vivek Partheeban, CEO, Caplin Point",,Interviews,"In an interview with ET Now, Vivek Partheeban, CEO, Caplin Point, speaks about resumption of supplies from a plant."
113,"Last Updated: Jul 13, 2018, 11:01 PM IST",SIMI’s rise as source of recruits for terror outfits keeps agencies on edge,TNN,Defence,"Over the years, SIMI leaders radicalised Muslim youths and formed networks to train, plot and execute terrorist attacks, often in close collaboration with Pakistan's covert agencies."
114,"Last Updated: Nov 01, 2016, 10:17 AM IST",Centre to take up issue of jawan release with Pakistan foreign ministry,TNN,Politics,"Chavan, a 37 Rashtriya Rifles sepoy, was posted in the Mendhar sector in J&K when he was reported missing hours after the surgical strikes."
115,"Last Updated: Nov 01, 2016, 10:23 AM IST",Green note: This music fest may not result in tonnes of waste,ET Bureau,Panache,"Echoes of Earth, a world music festival will bringing 40 local, national and international artists together on Nov 26 and 27."
116,"Last Updated: Nov 01, 2016, 10:22 AM IST",November belonged to bears in last 10 years; will it be different in 2016?,ETMarkets.com,Stocks,"In last 10 years, it gave the best performance of 6.8% return in 2009 while the worst performance was in 2011, when it slipped 9.3% during the month."
117,"Last Updated: Nov 01, 2016, 10:22 AM IST",November belonged to bears in last 10 years; will it be different in 2016?,ETMarkets.com,Stocks,"In last 10 years, it gave the best performance of 6.8% return in 2009 while the worst performance was in 2011, when it slipped 9.3% during the month."
118,"Last Updated: Nov 01, 2016, 10:26 AM IST","Law panel’s Uniform Civil Code survey draws 10,000 responses",TNN,Politics,The commission has also sought responses from all the political parties on the 16 questions it has framed to end several religious practices and customs.
119,"Last Updated: Nov 01, 2016, 10:30 AM IST","From niche to chic: Retailers, ecommerce players find potential market in hand-woven fabrics",ET Bureau,Cons. Products,"While brands like Fabindia have always worked with handloom fabrics, those like Aditya Birla Fashion and Retail and Titan Group are now readying to foray into the segment."
120,"Last Updated: Nov 01, 2016, 10:23 AM IST",Bhopal encounter: Intelligence agencies warn of SIMI retaliation,TNN,Politics,"An official told TOI that while there may be some confusion about events leading to the encounter, the possibility of the escaped SIMI men planning to join Islamic State to carry out terrorist acts was “very high“."
121,"Last Updated: Nov 01, 2016, 10:32 AM IST","China, Japan defy textbook theories as falling currencies fail to lift exports",,Forex,That tepid demand means factories are yet to get a sustained shot in the arm from a currency that’s weakened 9 per cent against the dollar since August 2015.
122,"Last Updated: Nov 01, 2016, 10:33 AM IST","NTPC, UPL, Grasim among top 5 stocks on which global brokerages have buy ratings",ETMarkets.com,Stocks,The market is expected to trade in a range in the short term. Most analysts have advised investors to remain cautious and stay light with positions.
123,"Last Updated: Nov 01, 2016, 10:30 AM IST",Reuters Sports News Summary,,Sports,SPORTS:Reuters Sports News Summary
124,"Last Updated: Nov 01, 2016, 10:38 AM IST",How to ensure oversized carriers stay off road,ET Bureau,Politics,There is a need to educate drivers and transport companies on the risks of oversized vehicles.
125,"Last Updated: Nov 01, 2016, 10:59 AM IST",Imran Khan's ex-wife Reham claims she got divorced on their anniversary,PTI,Panache,"Nearly 10 months after the cricketer-turned-politician tied the knot with TV journalist Reham, his marriage ended in divorce."
126,"Last Updated: Nov 01, 2016, 10:40 AM IST",Odisha down to 11th on ease of doing business ranking,ET Bureau,Economy,"Based on reforms reviewed by the World Bank, DIPP is an initiative of the Narendra Modi government to use competitive federalism to get states to up their games."
127,"Last Updated: Nov 01, 2016, 10:39 AM IST",Bharti Infratel rises 3% on Bharti Airtel's stake sale plan,ETMarkets.com,Stocks,"Bharti Airtel, the parent firm, had last week told stock exchanges that it had taken board approval to explore monetisation of a significant stake in the tower arm."
128,"Last Updated: Nov 01, 2016, 10:43 AM IST","Eye on earnings: Q2 topline growth in recovery mode, but still long way to go",ETMarkets.com,Stocks,"Data available with corporate database AceEquity showed the 191 firms have reported high single-digit growth in profit, but mid single-digit growth in sales."
